hola 你好 nǐhǎo
adiós 再见 zàijiàn
gracias 谢谢 xièxiè
sí 是 shì
no 不 bù
agua 水 shuǐ
comida 饭 fàn
amigo 朋友 péngyǒu
familia 家 jiā
casa 房子 fángzi
escuela 学校 xuéxiào
trabajo 工作 gōngzuò
feliz 快乐 kuàilè
día 天 tiān
noche 夜 yè
mañana 早上 zǎoshang
tarde 下午 xiàwǔ
amar 爱 ài
amor 爱 ài
mujer 女人 nǚrén
hombre 男人 nánrén
niño 孩子 háizi
tiempo 时间 shíjiān
dinero 钱 qián
comer 吃 chī
beber 喝 hē
leer 读 dú
escribir 写 xiě
escuchar 听 tīng
hablar 说 shuō
viajar 旅行 lǚxíng
ciudad 城市 chéngshì
país 国家 guójiā
coche 车 chē
tren 火车 huǒchē
avión 飞机 fēijī
gato 猫 māo
perro 狗 gǒu
pájaro 鸟 niǎo
bonito 漂亮 piàoliang
feo 丑 chǒu
grande 大 dà
pequeño 小 xiǎo
largo 长 cháng
corto 短 duǎn
rápido 快 kuài
lento 慢 màn
frío 冷 lěng
caliente 热 rè
rojo 红色 hóngsè
azul 蓝色 lánsè
verde 绿色 lǜsè
amarillo 黄色 huángsè
negro 黑色 hēisè
blanco 白色 báisè
nuevo 新 xīn
viejo 旧 jiù
caro 贵 guì
barato 便宜 piányi
fuera 外 wài
dentro 里 lǐ
izquierda 左 zuǒ
derecha 右 yòu
arriba 上 shàng
abajo 下 xià
abrir 开 kāi
cerrar 关 guān
bien 好 hǎo
mal 坏 huài
primero 第一 dìyī
último 最后 zuìhòu
mucho 多 duō
poco 少 shǎo
llover 下雨 xiàyǔ
nevar 下雪 xiàxuě
sol 太阳 tàiyáng
luna 月亮 yuèliàng
estrella 星星 xīngxīng
preguntar 问 wèn
responder 回答 huídá
esperar 等 děng
entender 懂 dǒng
pensar 想 xiǎng
creer 相信 xiāngxìn
ver 看 kàn
escuchar 听 tīng
oler 闻 wén
saber 知道 zhīdào
querer 想要 xiǎngyào
poder 能 néng
deber 应该 yīnggāi
trabajar 工作 gōngzuò
aprender 学习 xuéxí
enseñar 教 jiāo
recordar 记得 jìdé
olvidar 忘记 wàngjì
vivir 生活 shēnghuó
morir 死 sǐ
nacer 出生 chūshēng
llamar 叫 jiào



yo 我 wǒ
tu 你 nǐ
el 他 nǐ
ella 她	tā
nosotros 我们	wǒmen
vosotros 你们	nǐmen
ellos 他们 tāmen
ellas 她们 tāmen
gustar 喜欢 xǐhuān
comer 吃 chī
beber 喝 hē
tener 有 yǒu
querer 想 xiǎng
ir 去 qù
bueno 好 hǎo
malo 坏	huài
ser 是 shì
estar 在 zài
tener 有 yǒu
hacer 做 zuò
decir 说 shuō
ver 看 kàn
oír 听 tīng
dar 给 gěi
saber 知道 zhīdào
pensar 想 xiǎng
querer 想要 xiǎngyào
necesitar 需要 xūyào
leer 读 dú
escribir 写 xiě
comer 吃 chī
beber 喝 hē
caminar 走 zǒu
correr 跑 pǎo
bailar 跳舞 tiàowǔ
trabajar 工作 gōngzuò
jugar 玩 wán
dormir 睡觉 shuìjiào
aprender 学习 xuéxí
enseñar 教 jiāo
comprar 买 mǎi
vender 卖 mài
abrir 开 kāi
cerrar 关 guān
esperar 等 děng
llamar 打电话 dǎ diànhuà
venir 来 lái
ir 去 qù
llegar 到 dào
salir 出去 chūqù
entrar 进去 jìnqù
sentir 感觉 gǎnjué
encontrar 找到 zhǎodào
perder 丢失 diūshī
pedir 请求 qǐngqiú
ayudar 帮助 bāngzhù
y 和 hé
pero 但是 dànshì
mas 更多 gèng duō
o 或者 huòzhě
porque 因为 yīnwèi
aunque 虽然 suīrán
cuando 当 dāng
si 如果 rúguǒ
que 那 nà
como 如 rú
hasta 直到 zhídào
antes de 之前 zhīqián
despues de 之后 zhīhòu
mientras 同时 tóngshí
ademas 而且 érqiě
